measures	SVM	KNN	NB	DT	MLP	BMA
Prec pos	0.43329479836868834	0.10714285714285714	0.40875912408759124		0.44729462178550927	0.4580966462283269
Prec neg	0.6846748594122399	0.5971529966255291	0.6333333333333333	0.6016483516483516	0.6793489023002568	0.6828745657161627
Rec pos	0.7655172413793103	0.004827586206896552	0.7724137931034483	0.0	0.683448275862069	0.6558620689655172
Rec neg	0.336986301369863	0.9767123287671233	0.2602739726027397	1.0	0.439269406392694	0.48675799086757987
F1 pos	0.5533102771786885		0.5346062052505967		0.5390429630398217	0.5387491976592256
F1 neg	0.4514004010320553	0.7411631020381874	0.36893203883495146	0.7512864493996568	0.5294097657231343	0.5670809516500565
ACC	0.5076923076923077	0.5895604395604396	0.4642857142857143	0.6016483516483516	0.5365384615384615	0.554120879120879
AUC	0.5778271138403401	0.4872476775310975	0.5742087860179499	0.5022831050228311	0.5984285939222169	0.589198551409227
