measures	SVM	KNN	NB	DT	MLP	BMA
Prec pos	0.5829734094594775	0.5177339544513457	0.625204068377443	0.6953006062564886	0.5436342255507015	0.6057479296066253
Prec neg	0.8156742960342032	0.8361263736263737	0.8147849696705531	0.7798060273060273	0.8047145011850894	0.8319037176274018
Rec pos	0.7888422035480859	0.8650210084033614	0.7464810924369748	0.6485644257703082	0.7952205882352941	0.7996043988691047
Rec neg	0.6273821857014077	0.46580122737674223	0.7059055890714929	0.8103893974065599	0.5594246931558144	0.6593319002380787
F1 pos	0.6669755155320256	0.6448208275872255	0.677952380952381	0.6689802436074651	0.6418355676170852	0.6858846854899486
F1 neg	0.706753445522589	0.5940781272050967	0.7539710186884504	0.7939908758778527	0.6566312317607341	0.7334242228359875
ACC	0.6844594594594595	0.6213213213213213	0.7228978978978979	0.7472972972972973	0.6487987987987988	0.7148648648648649
AUC	0.7679389426241712	0.7235237907246506	0.7773908406061847	0.7770430296445519	0.750660089034043	0.7920408075168053
