Modelli	Prec 0	Prec 1	Prec	Rec 0	Rec 1	Rec	F1 0	F1 1	F1	ACC	AUC
SVM	0.7216789887908419	0.660065438264164	0.6908722135275029	0.6052	0.7666	0.6859	0.6583269879255955	0.7093550476542981	0.6838410177899468	0.6938	0.7506533052932027
KNN	0.6970159006752341	0.6672212978369384	0.6821185992560863	0.64	0.7218	0.6809000000000001	0.6672922531539985	0.6934383706407916	0.6803653118973951	0.6809000000000001	0.745346024718245
NB	0.7216789887908419	0.660065438264164	0.6908722135275029	0.6052	0.7666	0.6859	0.6583269879255955	0.7093550476542981	0.6838410177899468	0.6859	0.7328433181867615
DT	0.781585220500596	0.6422335942203492	0.7119094073604726	0.5246	0.8534	0.6890000000000001	0.6278123504068932	0.7329096530401925	0.6803610017235429	0.6890000000000001	0.7251738465466367
MLP	0.6860340004303852	0.6614982252942275	0.6737661128623064	0.6376	0.7082	0.6729	0.660930859334508	0.6840529315174345	0.6724918954259713	0.6729	0.7368499367079592
BMA	0.7337709700948213	0.6633259724817394	0.6985484712882803	0.6036	0.781	0.6923	0.6623504883133984	0.7173693395793147	0.6898599139463566	0.6923	0.75937608
