FOLD	SCORE 0 SVM	SCORE 1 SVM	SCORE 0 KNN	SCORE 1 KNN	SCORE 0 NB	SCORE 1 NB	SCORE 0 DT	SCORE 1 DT	SCORE 0 MLP	SCORE 1 MLP
1	0.6490825688073395	0.728723404255319	0.6584922797456856	0.6727589208006963	0.6588434551173482	0.7102938154920895	0.6454780361757105	0.7325536062378168	0.6579280211567207	0.6802106847253575
2	0.6523887973640856	0.7286576318132358	0.6718207282913166	0.6772451790633609	0.6599131693198265	0.7095179233621756	0.636448225441978	0.7389519900734943	0.6684593837535014	0.6739393939393938
3	0.6464955955572577	0.7276482738270875	0.6640369660768625	0.6733866549797305	0.6576987749219313	0.7053959065536489	0.6240278895146152	0.7340163156896224	0.6546860782529573	0.6702867072111208
4	0.6481952211489579	0.7268061587050929	0.6589478417266186	0.6667398945518453	0.6573460286850669	0.706997835720911	0.636954261954262	0.7288431677018633	0.6677130044843049	0.6735682819383261
5	0.649228020926375	0.7295090032470727	0.6686909581646423	0.6765480895915679	0.6613038780165686	0.7083031744390446	0.641249186727391	0.7327193407658749	0.6586624775583483	0.6652728873239436
6	0.646361666879062	0.72668176893529	0.6599030548979822	0.6695147332676088	0.6571497701427534	0.7088555578385043	0.6285255981820612	0.7358113889152962	0.6642210248767625	0.6842729330602566
7	0.6462089246899373	0.7281658316141075	0.6586136825468503	0.669218989280245	0.6551765991018328	0.7089437557627293	0.6273515677118078	0.7341266063779153	0.6562500000000001	0.6826923076923077
8	0.6478011472275335	0.727917282127031	0.6579185520361991	0.6698689956331878	0.6547749059580148	0.7084742289168972	0.629053872956312	0.7373315619662174	0.6659121774558624	0.6778699257965954
9	0.6418198175041769	0.7272727272727273	0.6583978152025489	0.674120712114633	0.6585454106862864	0.7084148727984343	0.6183008318559935	0.7376019499390644	0.6566175630923833	0.6746727253056367
10	0.6498286584591954	0.7273984784112241	0.6614724480578139	0.6721347331583551	0.6598410021681523	0.7088059393689421	0.6396292004634994	0.7264731750219877	0.65794519003045	0.6679075878681703
