Modelli	Prec 0	Prec 1	Prec	Rec 0	Rec 1	Rec	F1 0	F1 1	F1	ACC	AUC
SVM	0.7352789256198347	0.6486618798955613	0.691970402757698	0.5694	0.795	0.6822	0.6417944093778178	0.7144140905823149	0.6781042499800664	0.6871	0.7078938518260292
KNN	0.7094829584975655	0.6588711095480921	0.6841770340228288	0.612	0.7494	0.6807	0.657145925051004	0.701225788340975	0.6791858566959895	0.6807000000000001	0.7171926298578267
NB	0.7352789256198347	0.6486618798955613	0.691970402757698	0.5694	0.795	0.6822	0.6417944093778178	0.7144140905823149	0.6781042499800664	0.6822	0.6934686615656019
DT	0.7037118868758285	0.6684325904274754	0.686072238651652	0.637	0.7318	0.6844	0.668696199874029	0.6986824517853734	0.6836893258297012	0.6844	0.7183235623989758
MLP	0.7325953259532595	0.6593091828138163	0.6959522543835379	0.5956	0.7826	0.6891	0.6570325427468284	0.7156835848193872	0.6863580637831078	0.6891	0.7283194247793829
BMA	0.7261509254864736	0.664707915658486	0.6954294205724798	0.612	0.7692	0.6906	0.6642066420664207	0.713146671611348	0.6886766568388843	0.6906	0.71858592
