Modelli	Prec 0	Prec 1	Prec	Rec 0	Rec 1	Rec	F1 0	F1 1	F1	ACC	AUC
SVM	0.7732932589094031	0.7383002620741296	0.7557967604917664	0.7204	0.7888	0.7545999999999999	0.7459101263201492	0.7627151421388513	0.7543126342295002	0.7797000000000001	0.8586742594766751
KNN	0.7379965457685665	0.8273159144893112	0.7826562301289388	0.8546	0.6966	0.7756000000000001	0.792029657089898	0.7563517915309447	0.7741907243104214	0.7756000000000001	0.8634282961717425
NB	0.7732932589094031	0.7383002620741296	0.7557967604917664	0.7204	0.7888	0.7545999999999999	0.7459101263201492	0.7627151421388513	0.7543126342295002	0.7546	0.8331065544994456
DT	0.7232815964523281	0.6834244080145719	0.70335300223345	0.6524	0.7504	0.7014	0.6860147213459517	0.7153479504289799	0.7006813358874657	0.7014	0.7534376797398645
MLP	0.7910297666934835	0.7877883850437549	0.7894090758686192	0.7866	0.7922	0.7894	0.7888086642599279	0.7899880335061829	0.7893983488830554	0.7894	0.8717049061140659
BMA	0.7928054662379421	0.7900079617834395	0.7914067140106908	0.789	0.7938	0.7914	0.7908981555733761	0.7918994413407822	0.7913987984570792	0.7914	0.8749568400000001
