FOLD	SCORE 0 SVM	SCORE 1 SVM	SCORE 0 KNN	SCORE 1 KNN	SCORE 0 NB	SCORE 1 NB	SCORE 0 DT	SCORE 1 DT	SCORE 0 MLP	SCORE 1 MLP
1	0.6671423474848377	0.708163903659681	0.6501988191348356	0.7007524997422946	0.643626346105685	0.7157978829638506	0.672423853425137	0.7023645424663344	0.6592838685861941	0.7195381343056821
2	0.6684795459919602	0.7061412701739678	0.6556085918854415	0.7	0.6427589653879795	0.7140142042612784	0.6676786548341895	0.698389147944044	0.6585067319461444	0.7161749745676499
3	0.665162669199715	0.7055752766757152	0.6532018533919449	0.6953981008035062	0.6400500625782228	0.7126873126873127	0.6644051935898936	0.696434239762988	0.6547327121137813	0.7139374238114586
4	0.6671398154719661	0.7052168447517285	0.6536040850255314	0.6954796951665101	0.6407185628742516	0.7115384615384615	0.669615832363213	0.6984059511158341	0.6574096829687883	0.7172987223686879
5	0.667458432304038	0.7077244258872651	0.6543756734107508	0.7007359800974396	0.6422662321383806	0.7152265016962682	0.6687675070028011	0.6991094147582697	0.6573116691285081	0.7181044957472662
6	0.6657960346669832	0.7060666179388118	0.6490828437837189	0.6969665596852677	0.6417219371793266	0.7139574383055249	0.6689879294336118	0.696078431372549	0.6581039755351682	0.7155216284987278
7	0.6641248659597283	0.706568127407099	0.6536259541984732	0.6980033277870217	0.6415047021943574	0.7148129675810474	0.662405303030303	0.7014237855946399	0.6544372830937036	0.7192911800241641
8	0.6652401331431289	0.7062995410930331	0.6519047619047619	0.6954166666666667	0.638634366762897	0.7130469450812319	0.6669779386016108	0.6975511502173222	0.6563687630256222	0.7152290968200751
9	0.662281750777326	0.7069931521062461	0.652855945395761	0.6995543579645559	0.638024442484566	0.7144986584517541	0.6647017212921481	0.7011977306156755	0.6568265682656828	0.7173252279635258
10	0.669031571479248	0.7066960075447972	0.6529152259449148	0.6971809008634141	0.6450648055832503	0.714514835605453	0.6678313533659446	0.6970469513490546	0.6602415517872392	0.7159032949097216
