measures	SVM	KNN	NB	DT	MLP	BMA
Prec pos	0.563821991807614	0.49519153710234287	0.6279539685313605	0.6750222644500024	0.5400196410809242	0.604642871809794
Prec neg	0.8091608986290771	0.805080873374991	0.8121584934049426	0.7758034235836669	0.7963988755583717	0.8325163395618886
Rec pos	0.7874606194993228	0.8419005375381505	0.7535538435996415	0.6554831475031534	0.7842776844245194	0.8015168630814514
Rec neg	0.596731443170562	0.43178034151950084	0.7043993050794288	0.7896973995600862	0.5576140645681364	0.652959313713384
F1 pos	0.6570554588967957	0.6234540353507418	0.6849114904481439	0.6645661162708068	0.6394700973116902	0.6892308972194365
F1 neg	0.686811340614622	0.5617639929822136	0.7543334362863219	0.7824476022642356	0.6556788837008861	0.7318178988023811
ACC	0.6727754158275527	0.5952412918624599	0.7243650704855672	0.7365788394122473	0.648040202879093	0.7121550309539793
AUC	0.7692432284531248	0.7190372548981809	0.7788071384135478	0.7566823139555989	0.7470670145709548	0.7889153087166391
