measures	SVM	KNN	NB	DT	MLP	BMA
Prec pos	0.3823342670401494	0.41875190985485106	0.36607080011491777	0.47409179056237877	0.41026976007794425	0.3585014469534593
Prec neg	0.591253496058988	0.6040106192646238	0.5775371564616416	0.6367607381914608	0.6215665650139335	0.5766708173483984
Rec pos	0.41339869281045755	0.3869806255835668	0.42173202614379085	0.4149743230625584	0.48948996265172734	0.41218671034847504
Rec neg	0.5667234935163997	0.6348598571527633	0.5267745301990153	0.6830930240621316	0.5485136259621386	0.5309312807710977
F1 pos	0.393595790153076	0.396563513134921	0.385742698513097	0.4311147872438195	0.43666252916531	0.3746098281730193
F1 neg	0.5761173162387742	0.6157980632365322	0.5462868846120719	0.6548001125035083	0.573996965937581	0.5459393796337308
ACC	0.49714714714714714	0.5274774774774775	0.47484984984984985	0.5681681681681682	0.5194444444444445	0.47762762762762756
AUC	0.48316364058955874	0.4803314726518668	0.4394373193690509	0.515627477424391	0.506064245873047	0.4796648620626808
