measures	SVM	KNN	NB	DT	MLP	BMA
Prec pos	0.6818181818181818	0.57	0.6818181818181818	0.578125	0.6024915062287656	0.6649374609130707
Prec neg	0.6428571428571429	0.64	0.6428571428571429	0.5581395348837209	0.646677471636953	0.6873191436198893
Rec pos	0.6	0.76	0.6	0.49333333333333335	0.7093333333333334	0.7066666666666667
Rec neg	0.72	0.4266666666666667	0.72	0.64	0.532	0.644
F1 pos	0.6382978723404256	0.6514285714285714	0.6382978723404256	0.5323741007194245	0.6515615431720759	0.6850970412758687
F1 neg	0.6792452830188679	0.512	0.6792452830188679	0.5962732919254659	0.5837600585223116	0.6648656433878108
ACC	0.6938488888888888	0.6513422222222222	0.6604444444444445	0.6371555555555555	0.6632888888888888	0.6753333333333333
AUC	0.6593333333333333	0.5933333333333334	0.66	0.5666666666666667	0.6206666666666667	0.7071822222222222
