measures	SVM	KNN	NB	DT	MLP	BMA
Prec pos	0.5812395309882747	0.5686059275521405	0.5812395309882747	0.6007984031936128	0.5694253924706599	0.5742279610649763
Prec neg	0.6203473945409429	0.620756279326525	0.6203473945409429	0.6012024048096193	0.6324512939808083	0.6256121812196516
Rec pos	0.694	0.7252	0.694	0.602	0.7472	0.6851569032853657
Rec neg	0.5	0.4498	0.5	0.6	0.435	0.5100413515402731
F1 pos	0.6326344576116681	0.6374263865693944	0.6326344576116681	0.6013986013986015	0.6463108727618717	0.6231248027155822
F1 neg	0.5537098560354374	0.5216282036414241	0.5537098560354374	0.6006006006006006	0.5154639175257731	0.560193775078253
ACC	0.647506	0.6405346000000001	0.631158	0.623518	0.6475377999999999	0.5966666666666667
AUC	0.591	0.5874999999999999	0.597	0.601	0.5911	0.6474546152257865
