measures	SVM	KNN	NB	DT	MLP	BMA
Prec pos	0.6044362292051756	0.5974955277280859	0.6044362292051756	0.5921501706484642	0.6013367052023122	0.5839172641930143
Prec neg	0.6230936819172114	0.6235827664399093	0.6230936819172114	0.6304347826086957	0.6256720430107527	0.6247161951701127
Rec pos	0.654	0.668	0.654	0.694	0.6658	0.658131469878677
Rec neg	0.572	0.55	0.572	0.522	0.5586	0.5486241910913058
F1 pos	0.6282420749279539	0.6307837582625118	0.6282420749279539	0.6390423572744014	0.6319286256643888	0.6168344920504405
F1 neg	0.5964546402502606	0.5844845908607863	0.5964546402502606	0.5711159737417943	0.5902366863905326	0.5820737318217941
ACC	0.6288672000000001	0.6434734	0.6096680000000001	0.6417440000000001	0.6596907999999999	0.6026666666666667
AUC	0.6078	0.609	0.613	0.608	0.6122	0.6271769376968745
